流水號,候選人,序號,交易日期,交易年,收支科目,統一編號,捐贈者／支出對象,收入金額,支出金額,金錢類,地址,P,營業地址
996,張肇良,42,104/11/17,104,營利事業捐贈收入,79972422,力翰企業有限公司,10000,NA,是,桃園市龍潭區,NA,桃園市龍潭區高平里高楊南路238巷92號
4492,李志鏞,5,104/12/22,104,營利事業捐贈收入,86690644,力麒建設股份有限公司,300000,NA,是,臺北市中山區,175,臺北市中山區中吉里吉林路99號8樓
4490,邱志偉,8,104/12/28,104,營利事業捐贈收入,86690644,力麒建設股份有限公司,300000,NA,是,臺北市中山區,NA,臺北市中山區中吉里吉林路99號8樓
4493,莊瑞雄,14,104/12/17,104,營利事業捐贈收入,86690644,力麒建設股份有限公司,300000,NA,是,臺北市中山區,179,臺北市中山區中吉里吉林路99號8樓
4489,許智傑,25,104/12/23,104,營利事業捐贈收入,86690644,力麒建設股份有限公司,300000,NA,是,臺北市吉林路,NA,臺北市中山區中吉里吉林路99號8樓
4491,陳歐珀,25,104/12/17,104,營利事業捐贈收入,86690644,力麒建設股份有限公司,300000,NA,是,臺北市吉林路,161,臺北市中山區中吉里吉林路99號8樓
4494,蔡其昌,12,104/12/31,104,營利事業捐贈收入,86690644,力麒建設股份有限公司,300000,NA,是,臺北市中山區,192,臺北市中山區中吉里吉林路99號8樓
4485,張廖萬堅,13,104/12/28,104,營利事業捐贈收入,16747150,力鶴投資股份有限公司,200000,NA,是,臺北市吉林路,NA,臺北市中山區中吉里吉林路99號8樓
4482,陳文彬,28,104/12/28,104,營利事業捐贈收入,16747150,力鶴投資股份有限公司,100000,NA,是,臺北市中山區,189,臺北市中山區中吉里吉林路99號8樓
4483,陳文彬,29,104/12/28,104,營利事業捐贈收入,16747150,力鶴投資股份有限公司,100000,NA,是,臺北市中山區,189,臺北市中山區中吉里吉林路99號8樓
4487,陳世凱,14,104/12/25,104,營利事業捐贈收入,16747150,力鶴投資股份有限公司,200000,NA,是,臺北市中山區,155,臺北市中山區中吉里吉林路99號8樓
4495,陳建閣,4,104/12/23,104,營利事業捐贈收入,16747150,力鶴投資股份有限公司,300000,NA,是,臺北市中山區,304,臺北市中山區中吉里吉林路99號8樓
4486,陳素月,41,104/12/25,104,營利事業捐贈收入,16747150,力鶴投資股份有限公司,200000,NA,是,臺北市中山區,134,臺北市中山區中吉里吉林路99號8樓
4484,賴瑞隆,5,104/12/25,104,營利事業捐贈收入,16747150,力鶴投資股份有限公司,200000,NA,是,臺北市中山區,NA,臺北市中山區中吉里吉林路99號8樓
4488,謝志忠,18,104/12/25,104,營利事業捐贈收入,16747150,力鶴投資股份有限公司,200000,NA,是,臺北市吉林路,157,臺北市中山區中吉里吉林路99號8樓
514,許淑華,1,105/01/08,105,營利事業捐贈收入,51006301,十全實業股份有限公司,50000,NA,是,南投縣南投市,139,南投縣南投市平山里仁和路27號
38,陳賴素美,28,104/11/19,104,營利事業捐贈收入,9612516,又升企業社,20000,NA,是,桃園市楊梅區,165,桃園市楊梅區永寧里14鄰老莊路180巷17號1樓
910,陳賴素美,36,104/10/28,104,營利事業捐贈收入,97053381,又春實業有限公司,60000,NA,是,桃園市桃園區,165,桃園市桃園區南埔里永安路684號
4151,黃國書,5,104/12/31,104,營利事業捐贈收入,31177468,三久建材工業股份有限公司,50000,NA,是,臺中市大里區,226,臺中市霧峰區南勢里峰北路666號
4152,劉建國,15,105/01/11,105,營利事業捐贈收入,31177468,三久建材工業股份有限公司,100000,NA,是,臺中市大里區,141,臺中市霧峰區南勢里峰北路666號
2990,鄭汝芬,13,104/10/26,104,營利事業捐贈收入,97176736,三大有線電視股份有限公司,500000,NA,是,彰化縣永靖鄉,NA,彰化縣永靖鄉瑚璉村中山路2段203號1樓
3053,王惠美,85,104/11/29,104,營利事業捐贈收入,97190441,三友璟工業有限公司,10000,NA,是,彰化縣和美鎮,210,彰化縣和美鎮山犁里仁仰路66巷1號
3052,陳文彬,57,104/11/30,104,營利事業捐贈收入,97190441,三友璟工業有限公司,10000,NA,是,彰化縣和美鎮,190,彰化縣和美鎮山犁里仁仰路66巷1號
4984,吳思瑤,40,104/09/16,104,營利事業捐贈收入,84287561,三文股份有限公司,20000,NA,是,臺北市北投區,NA,臺北市北投區文林北路216號5樓
5076,費鴻泰,31,104/10/16,104,營利事業捐贈收入,13092827,三可國際股份有限公司,100000,NA,是,臺北市松山區,NA,臺北市松山區松基里民生東路3段130巷7弄15號2樓
423,李志鏞,21,104/10/26,104,營利事業捐贈收入,54772411,三本食品有限公司,60000,NA,是,宜蘭縣蘇澳鎮,175,宜蘭縣蘇澳鎮隘丁里祥禮路11號1樓
5741,陳亭妃,9,105/01/12,105,營利事業捐贈收入,23794354,三民營造股份有限公司,100000,NA,是,臺南市新市區,NA,臺南市新市區大社里大社875-1號2樓
5742,黃偉哲,3,105/01/15,105,營利事業捐贈收入,23794354,三民營造股份有限公司,250000,NA,是,臺南市新市區,NA,臺南市新市區大社里大社875-1號2樓
3266,陳朝容,7,104/12/25,104,營利事業捐贈收入,59127314,三永電熱機械股份有限公司,200000,NA,是,彰化縣溪州鄉,148,彰化縣溪州鄉溪厝村興南路501號
2117,蔡適應,22,104/11/27,104,營利事業捐贈收入,22890409,三禾倉儲股份有限公司,200000,NA,是,基隆市源遠路,164,基隆市暖暖區源遠路102巷2號1樓
5320,陳建閣,14,104/10/16,104,營利事業捐贈收入,78774135,三合房屋企業社,100000,NA,是,臺東縣臺東巿,304,臺東縣臺東市東海里長沙街116號
2914,李俊俋,28,104/09/16,104,營利事業捐贈收入,53646280,三合美食品股份有限公司,20000,NA,是,嘉義縣民雄鄉,NA,嘉義縣民雄鄉三興村1鄰陳厝寮1―3號
2895,陳明文,26,104/10/03,104,營利事業捐贈收入,27261436,三好屋股份有限公司,50000,NA,是,嘉義縣六腳鄉,NA,嘉義縣六腳鄉蘇厝村001鄰92―4號1樓
945,陳賴素美,35,104/10/30,104,營利事業捐贈收入,38432443,三每有限公司,100000,NA,是,桃園市楊梅區,165,桃園市楊梅區上湖里017鄰下四湖34號
5680,王定宇,158,104/06/28,104,營利事業捐贈收入,24249558,三佶有限公司,10000,NA,是,臺南市東區崇,218,臺南市東區崇善里崇善八街43號1樓
4882,吳育昇,1,105/01/15,105,營利事業捐贈收入,80071054,三和電訊有限公司,115481,NA,否,臺北市內湖區,NA,臺北市內湖區港墘里瑞光路192號9樓之1
130,何欣純,36,104/12/15,104,營利事業捐贈收入,6035982,三朋鋼業股份有限公司,50000,NA,是,臺中市東區振,205,臺中市東區東門里振興路178之2號
2983,洪宗熠,6,104/12/25,104,營利事業捐贈收入,59119525,三花工業社,150000,NA,是,彰化縣北斗鎮,172,彰化縣北斗鎮文昌里15鄰復興路228巷58弄60號
2253,張慶忠,11,104/11/11,104,營利事業捐贈收入,86095552,三芳紙業有限公司,50000,NA,是,新北市土城區,NA,新北市土城區忠承路1號1樓
4910,陳超明,46,104/11/20,104,營利事業捐贈收入,16268003,三門科技股份有限公司,915000,NA,是,臺北市內湖區,236,臺北市內湖區湖元里行忠路42號6樓
3267,洪宗熠,29,104/10/12,104,營利事業捐贈收入,27787404,三信不動產有限公司,200000,NA,是,彰化縣溪湖鎮,172,彰化縣溪湖鎮大竹里糖北街5號
5770,王定宇,56,104/11/19,104,營利事業捐贈收入,68040606,三星科技股份有限公司,500000,NA,是,臺南市歸仁區,220,臺南市歸仁區南興里30鄰中山路3段355-6號1樓
4218,吳思瑤,39,104/09/16,104,營利事業捐贈收入,94841076,三星營造股份有限公司,200000,NA,是,臺北市大同區,NA,臺北市大同區保安里承德路3段232號6樓
5454,林俊憲,7,105/01/06,105,營利事業捐贈收入,28774244,三益事業有限公司,200000,NA,是,臺北市中山區,196,臺南市北區文成里海安路3段135巷103號1樓
5452,莊瑞雄,2,105/01/15,105,營利事業捐贈收入,28774244,三益事業有限公司,100000,NA,是,臺南市北區和,179,臺南市北區文成里海安路3段135巷103號1樓
98,高志鵬,27,104/12/03,104,營利事業捐贈收入,1182577,三麥機械股份有限公司,10000,NA,是,新北市新莊區,NA,新北市新莊區建安里建國二路95號
5125,林國正,13,104/11/17,104,營利事業捐贈收入,84466749,三發地產股份有限公司,50000,NA,是,臺北市松山區,NA,臺北市松山區敦化里八德路3段30號12樓
5127,莊啟旺,25,104/11/18,104,營利事業捐贈收入,84466749,三發地產股份有限公司,50000,NA,是,臺北市松山區,160,臺北市松山區敦化里八德路3段30號12樓
5126,黃柏霖,31,104/11/18,104,營利事業捐贈收入,84466749,三發地產股份有限公司,50000,NA,是,臺北市松山區,153,臺北市松山區敦化里八德路3段30號12樓
5128,劉世芳,21,104/11/20,104,營利事業捐贈收入,84466749,三發地產股份有限公司,50000,NA,是,臺北市松山區,199,臺北市松山區敦化里八德路3段30號12樓
5124,賴瑞隆,19,104/11/18,104,營利事業捐贈收入,84466749,三發地產股份有限公司,50000,NA,是,臺北市松山區,NA,臺北市松山區敦化里八德路3段30號12樓
1072,鄭運鵬,14,104/12/17,104,營利事業捐贈收入,97065844,三華鋼鐵有限公司,2000,NA,是,桃園市蘆竹區,250,桃園市蘆竹區南興里南昌路145號4樓之2
4985,孔文吉,2,105/01/08,105,營利事業捐贈收入,70836209,三開開發有限公司,10000,NA,是,臺中市神岡區,186,臺北市北投區文林北路234-3號1樓
978,張肇良,49,104/11/17,104,營利事業捐贈收入,54780067,三順房屋仲介股份有限公司,10000,NA,是,桃園市龍潭區,NA,桃園市龍潭區中山里中正路60號1樓
975,林淑芬,16,104/11/13,104,營利事業捐贈收入,44945977,三義鋼鐵股份有限公司,10000,NA,是,新北市八里區,176,桃園市龍潭區九龍里31鄰中興路九龍段3巷13號
5430,林岱樺,65,104/10/14,104,營利事業捐贈收入,80251020,三燕兄弟能源股份有限公司,10000,NA,是,臺南市仁德區,223,臺南市仁德區新田里2鄰義林路128號
5018,羅明才,34,104/10/08,104,營利事業捐贈收入,25106938,三興資訊股份有限公司,500000,NA,是,臺北市中山區,194,臺北市松山區中正里復興北路143號10樓
5566,陳亭妃,75,104/12/23,104,營利事業捐贈收入,54068499,三點水文化創意有限公司,3000,NA,是,臺南市安平區,NA,臺南市安平區文平里建平六街74巷24號1樓
4580,李志鏞,24,104/10/02,104,營利事業捐贈收入,53958993,三曜國際股份有限公司,100000,NA,是,臺北市中山區,175,臺北市中山區朱園里南京東路2段206號9樓之1
3761,劉國隆,5,104/12/29,104,營利事業捐贈收入,52476293,三鎰水電工程有限公司,30000,NA,是,臺中市西屯區,NA,臺中市西屯區何德里大信街60號5樓之3
1988,李昆澤,36,104/11/22,104,營利事業捐贈收入,96900916,上木有限公司,30000,NA,是,高雄市旗山區,208,高雄市旗山區大德里延平一路634號
5729,葉宜津,13,104/12/22,104,營利事業捐贈收入,67912189,上正汽車修配廠,30000,NA,是,臺南市麻豆區,171,臺南市麻豆區油車里4鄰麻學路一段38號
2930,蔡易餘,15,104/12/08,104,營利事業捐贈收入,70718836,上玄橡膠股份有限公司,100000,NA,是,嘉義縣民雄鄉,168,嘉義縣民雄鄉豐收村2鄰好收18號
1232,李昆澤,89,104/08/26,104,營利事業捐贈收入,24508180,上亞能源股份有限公司,100000,NA,是,高雄市三民區,206,高雄市三民區灣子里民族一路568號
5348,王定宇,139,104/07/01,104,營利事業捐贈收入,23401082,上享實業有限公司,10000,NA,是,臺南市中西區,218,臺南市中西區法華里健康路1段76號3樓之2
5623,陳亭妃,74,104/12/24,104,營利事業捐贈收入,10718122,上昇皮料行,10000,NA,是,臺南市安南區,NA,臺南市安南區州北里安昌街85巷75弄3號1樓
2730,蔡適應,26,104/11/2,104,營利事業捐贈收入,16878286,上泉混凝土股份有限公司,150000,NA,是,新北市蘆洲區,164,新北市蘆洲區忠義里長安街108巷5弄8號2樓
1184,林岱樺,30,104/12/03,104,營利事業捐贈收入,89742527,上展國際實業有限公司,100000,NA,是,高雄市三民區,224,高雄市三民區鼎安路3號9樓之3
1264,林岱樺,6,105/01/14,105,營利事業捐贈收入,23076635,上峰塑膠工業股份有限公司,36000,NA,是,高雄市大寮區,224,高雄市大寮區大寮里華東路66號
4600,蔡煌瑯,40,104/08/22,104,營利事業捐贈收入,25148347,上海正義生命服務有限公司,20000,NA,是,臺北市中山區,245,臺北市中山區松江里民權東路2段186號1樓
3484,何欣純,6,105/01/15,105,營利事業捐贈收入,28122692,上益木業有限公司,66000,NA,是,臺中市大里區,205,臺中市大里區塗城里塗城路51―2號
1724,蘇震清,44,104/07/20,104,營利事業捐贈收入,84189219,上益營造有限公司,300000,NA,是,高雄市苓雅區,181,高雄市苓雅區正大里中正一路120號8樓之4
1670,李昆澤,72,104/08/27,104,營利事業捐贈收入,28617266,上陞建材有限公司,20000,NA,是,高雄市前鎮區,207,高雄市前鎮區信義里興化街89號
346,陳學聖,37,104/12/11,104,營利事業捐贈收入,70806090,上啟源環保科技股份有限公司,300000,NA,是,桃園市觀音區,229,桃園市龜山區嶺頂里萬壽路2段19號1樓
2271,羅致政,10,104/12/02,104,營利事業捐贈收入,86642469,上勝建設企業有限公司,500000,NA,是,新北市中和區,NA,新北市中和區中正里連城路347巷8―1號
2119,馬文君,37,104/12/10,104,營利事業捐贈收入,12981400,上喆蜂蜜有限公司,100000,NA,是,雲林縣土庫鎮,NA,雲林縣土庫鎮興新里1鄰新興路28-5號1樓
1945,趙天麟,85,104/05/18,104,營利事業捐贈收入,28605254,上揚國際實業有限公司,500000,NA,是,高雄市鼓山區,241,高雄市鼓山區龍子里明誠三路679號11樓
1228,李昆澤,100,104/07/16,104,營利事業捐贈收入,53593967,上逸建設有限公司,300000,NA,是,高雄市三民區,206,高雄市三民區寶興里寶興路82―18號7樓
2254,吳秉叡,66,104/09/23,104,營利事業捐贈收入,84586821,上靖工程有限公司,60000,NA,是,新北市土城區,NA,新北市土城區青雲里青雲路172巷15號1樓
4860,莊瑞雄,18,104/12/14,104,營利事業捐贈收入,28225162,上豪租賃股份有限公司,100000,NA,是,臺北市內湖區,179,臺北市內湖區港墘里內湖路1段396號12樓
2968,陳素月,74,104/10/08,104,營利事業捐贈收入,42566160,上鳴興業有限公司,100000,NA,是,彰化縣大村鄉,134,彰化縣大村鄉加錫村002鄰大崙路臨6-29號
2523,吳育昇,47,104/11/25,104,營利事業捐贈收入,28080742,上億投資股份有限公司,300000,NA,是,新北市林口區,NA,新北市林口區南勢里民富街208號二樓
2521,林德福,25,104/12/03,104,營利事業捐贈收入,28080742,上億投資股份有限公司,200000,NA,是,新北市林口區,183,新北市林口區南勢里民富街208號二樓
2522,羅明才,21,104/12/04,104,營利事業捐贈收入,28080742,上億投資股份有限公司,200000,NA,是,新北市林口區,194,新北市林口區南勢里民富街208號二樓
1938,李昆澤,99,104/07/17,104,營利事業捐贈收入,82097827,上毅興業股份有限公司,200000,NA,是,高雄市鼓山區,206,高雄市鼓山區前峰里九如四路1556號1樓
522,陳超明,48,104/11/18,104,營利事業捐贈收入,86568340,上緯企業股份有限公司,1000000,NA,是,南投縣南投市,236,南投縣南投市永豐里工業南六路9號
1987,張顯耀,19,104/12/11,104,營利事業捐贈收入,24662351,上鋐企業有限公司,10000,NA,是,高雄市前鎮區,NA,高雄市鼓山區龍水里美術館路281號4樓
178,李慶元,5,104/12/15,104,營利事業捐贈收入,1785417,上興工程行,36000,NA,是,臺北市文山區,136,臺北市大安區樂業街146號1樓
2182,吳育昇,30,104/12/14,104,營利事業捐贈收入,35961307,上濠企業股份有限公司,20000,NA,是,新北市八里區,NA,新北市八里區頂罟里博物館路77號1樓
2069,林岱樺,42,104/10/28,104,營利事業捐贈收入,86912527,上豐蛋品有限公司,10000,NA,是,高雄市燕巢區,223,高雄市燕巢區安招里安林三街53號
3050,陳文彬,14,104/12/31,104,營利事業捐贈收入,67746865,丸田冷凍倉儲行,10000,NA,是,彰化縣秀水鄉,189,彰化縣秀水鄉鶴鳴村永豐巷7號
2154,劉建國,4,105/01/15,105,營利事業捐贈收入,64860217,丸莊食品工業股份有限公司,30000,NA,是,雲林縣西螺鎮,141,雲林縣西螺鎮永安里4鄰延平路25號
4285,吳育昇,46,104/11/25,104,營利事業捐贈收入,55656776,久年營造股份有限公司,100000,NA,是,臺北市大安區,NA,臺北市大安區民輝里忠孝東路3段6號2樓
231,陳亭妃,128,104/11/30,104,營利事業捐贈收入,6618425,久昌紙器行,80000,NA,是,臺南市仁德區,NA,臺南市仁德區仁德里3鄰仁中三街65號1樓
3341,馬文君,26,104/12/14,104,營利事業捐贈收入,59003799,久津實業股份有限公司,300000,NA,是,彰化縣福興鄉,NA,彰化縣福興鄉三汴村2鄰興業路14號
3340,陳建閣,5,104/12/23,104,營利事業捐贈收入,59003799,久津實業股份有限公司,200000,NA,是,臺中市西屯區,304,彰化縣福興鄉三汴村2鄰興業路14號
3342,盧秀燕,NA,104/12/25,104,營利事業捐贈收入,59003799,久津實業股份有限公司,500000,NA,是,臺中市西屯區,NA,彰化縣福興鄉三汴村2鄰興業路14號
3170,陳文彬,50,104/12/21,104,營利事業捐贈收入,22077592,久展鋼鐵有限公司,10000,NA,是,彰化縣埔心鄉,190,彰化縣埔心鄉舊館村武興路79號之1
